transport,host,port,payload,subs,pubs,rate_per_pub,rate,delivery_rate,run_id,sub_tps,p50_ms,p95_ms,p99_ms,pub_tps,sent,recv,errors,loss_pct,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,avg_cpu_perc,avg_mem_perc,avg_mem_used_bytes,max_net_rx_bps,max_net_tx_bps,avg_net_rx_bps,avg_net_tx_bps
rabbitmq,192.168.0.245,5672,1024,3000,30,10,300,900000,fanout_steady_20260508_062402_rabbitmq_p1024_s3000_u30_r10,1399.94,719.244,11492.906,39399.497,,0,319187,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_062402_rabbitmq_p1024_s3000_u30_r10/fanout_singlesite,399.530000,19.600000,1631013831,395.511500,19.040000,1585218742,5500000.000000,55000000.000000,4684210.526316,52456140.350877
rabbitmq,192.168.0.245,5672,1024,4000,40,10,400,1600000,fanout_steady_20260508_063028_rabbitmq_p1024_s4000_u40_r10,1008.39,1351.459,9891.532,36780.904,,0,324703,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_063028_rabbitmq_p1024_s4000_u40_r10/fanout_singlesite,397.830000,21.530000,1792075104,394.781500,20.930000,1742629293,5500000.000000,60000000.000000,5122807.017544,54912280.701754
rabbitmq,192.168.0.245,5672,1024,5000,50,10,500,2500000,fanout_steady_20260508_063828_rabbitmq_p1024_s5000_u50_r10,764.80,1077.387,6070.487,30255.466,,0,285269,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_063828_rabbitmq_p1024_s5000_u50_r10/fanout_singlesite,396.960000,21.690000,1806033748,395.073500,21.261500,1770278145,6000000.000000,65000000.000000,5535087.719298,57543859.649123
rabbitmq,192.168.0.245,5672,1024,6000,60,10,600,3600000,fanout_steady_20260508_064719_rabbitmq_p1024_s6000_u60_r10,629.49,1933.615,9801.194,25871.127,,0,303412,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_064719_rabbitmq_p1024_s6000_u60_r10/fanout_singlesite,398.950000,24.120000,2008970953,395.306190,23.264286,1937132512,6000000.000000,65000000.000000,5825000.000000,59500000.000000
rabbitmq,192.168.0.245,5672,1024,7000,70,10,700,4900000,fanout_steady_20260508_065800_rabbitmq_p1024_s7000_u70_r10,589.48,1769.723,13899.880,29756.424,,0,340131,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_065800_rabbitmq_p1024_s7000_u70_r10/fanout_singlesite,398.080000,25.230000,2100239008,395.902500,24.568000,2045424488,6500000.000000,65000000.000000,5710526.315789,58596491.228070
mqtt_mosquitto,192.168.0.245,1883,1024,500,5,10,50,25000,fanout_steady_20260508_071013_mosquitto_p1024_s500_u5_r10,2836.54,2.057,3.642,5.380,,0,43500,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_071013_mosquitto_p1024_s500_u5_r10/fanout_singlesite,109.340000,0.180000,15298724,99.105833,0.180000,15213964,4000000.000000,5500000.000000,3727272.727273,4272727.272727
mqtt_mosquitto,192.168.0.245,1883,1024,1000,10,10,100,100000,fanout_steady_20260508_071340_mosquitto_p1024_s1000_u10_r10,7056.60,4.146,7.629,11.080,,0,56000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_071340_mosquitto_p1024_s1000_u10_r10/fanout_singlesite,132.300000,0.130000,10664018,104.500833,0.122500,10365698,8000000.000000,7500000.000000,4772727.272727,5545454.545455
mqtt_mosquitto,192.168.0.245,1883,1024,2000,20,10,200,400000,fanout_steady_20260508_071708_mosquitto_p1024_s2000_u20_r10,16188.68,9.111,16.644,23.639,,0,328000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_071708_mosquitto_p1024_s2000_u20_r10/fanout_singlesite,110.660000,0.220000,18077450,108.334167,0.213333,17869483,5000000.000000,15000000.000000,4545454.545455,11363636.363636
mqtt_mosquitto,192.168.0.245,1883,1024,3000,30,10,300,900000,fanout_steady_20260508_072036_mosquitto_p1024_s3000_u30_r10,25227.72,17.349,30.595,42.945,,0,444297,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_072036_mosquitto_p1024_s3000_u30_r10/fanout_singlesite,110.470000,0.310000,25501368,104.575000,0.305833,25407870,5000000.000000,26666666.666667,4530303.030303,16060606.060606
mqtt_mosquitto,192.168.0.245,1883,1024,4000,40,10,400,1600000,fanout_steady_20260508_072405_mosquitto_p1024_s4000_u40_r10,32290.91,24.537,41.937,59.871,,0,676000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_072405_mosquitto_p1024_s4000_u40_r10/fanout_singlesite,109.970000,0.400000,33208402,106.553846,0.397692,32932546,5000000.000000,30000000.000000,4666666.666667,16666666.666667
mqtt_mosquitto,192.168.0.245,1883,1024,5000,50,10,500,2500000,fanout_steady_20260508_072737_mosquitto_p1024_s5000_u50_r10,39033.39,110.096,183.935,303.624,,0,2224903,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_072737_mosquitto_p1024_s5000_u50_r10/fanout_singlesite,106.010000,0.490000,40653292,102.570000,0.486429,40415864,5500000.000000,80000000.000000,5153846.153846,70384615.384615
mqtt_mosquitto,192.168.0.245,1883,1024,6000,60,10,600,3600000,fanout_steady_20260508_073109_mosquitto_p1024_s6000_u60_r10,44563.24,272.732,472.877,623.245,,0,2584668,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_073109_mosquitto_p1024_s6000_u60_r10/fanout_singlesite,107.570000,0.590000,48727327,98.210000,0.571333,47713004,5500000.000000,80000000.000000,4976190.476190,67023809.523810
mqtt_mosquitto,192.168.0.245,1883,1024,7000,70,10,700,4900000,fanout_steady_20260508_073443_mosquitto_p1024_s7000_u70_r10,38826.81,366.548,718.355,804.613,,0,2251955,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_073443_mosquitto_p1024_s7000_u70_r10/fanout_singlesite,123.560000,0.670000,56140759,106.839286,0.666429,55586512,9500000.000000,95000000.000000,6089743.589744,66794871.794872
mqtt_emqx,192.168.0.245,1884,1024,500,5,10,50,25000,fanout_steady_20260508_073818_emqx_p1024_s500_u5_r10,4826.92,3.458,5.709,8.305,,0,251000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_073818_emqx_p1024_s500_u5_r10/fanout_singlesite,206.720000,3.360000,279760077,184.699091,3.358182,279445504,2000000.000000,20000000.000000,1600000.000000,18833333.333333
mqtt_emqx,192.168.0.245,1884,1024,1000,10,10,100,100000,fanout_steady_20260508_074148_emqx_p1024_s1000_u10_r10,9945.45,6.464,11.693,20.231,,0,547000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_074148_emqx_p1024_s1000_u10_r10/fanout_singlesite,392.390000,3.290000,274307482,135.445385,3.290000,273936447,6000000.000000,105000000.000000,1555555.555556,25972222.222222
mqtt_emqx,192.168.0.245,1884,1024,2000,20,10,200,400000,fanout_steady_20260508_074520_emqx_p1024_s2000_u20_r10,19689.25,33.836,693.764,2047.317,,0,1102598,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_074520_emqx_p1024_s2000_u20_r10/fanout_singlesite,341.890000,4.010000,333971456,201.200769,3.983846,331640391,3500000.000000,55000000.000000,1500000.000000,24861111.111111
mqtt_emqx,192.168.0.245,1884,1024,3000,30,10,300,900000,fanout_steady_20260508_074854_emqx_p1024_s3000_u30_r10,24044.60,400.490,1780.257,3892.576,,0,937453,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_074854_emqx_p1024_s3000_u30_r10/fanout_singlesite,398.540000,4.940000,410936934,396.069231,4.860769,404734204,8000000.000000,150000000.000000,6444444.444444,125000000.000000
mqtt_emqx,192.168.0.245,1884,1024,4000,40,10,400,1600000,fanout_steady_20260508_075227_emqx_p1024_s4000_u40_r10,25668.80,43.910,1658.203,7890.074,,0,1437453,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_075227_emqx_p1024_s4000_u40_r10/fanout_singlesite,252.240000,5.660000,470915482,390.310714,5.652857,470548480,3000000.000000,60000000.000000,2705128.205128,43461538.461538
mqtt_emqx,192.168.0.245,1884,1024,5000,50,10,500,2500000,fanout_steady_20260508_075602_emqx_p1024_s5000_u50_r10,25917.82,35.684,640.952,4031.739,,0,622316,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_075602_emqx_p1024_s5000_u50_r10/fanout_singlesite,398.980000,7.030000,585524838,396.235714,7.005714,583382747,7500000.000000,150000000.000000,6782051.282051,112564102.564103
mqtt_emqx,192.168.0.245,1884,1024,6000,60,10,600,3600000,fanout_steady_20260508_075936_emqx_p1024_s6000_u60_r10,26690.30,32.217,441.897,4772.877,,0,1601418,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_075936_emqx_p1024_s6000_u60_r10/fanout_singlesite,398.990000,4.910000,409154355,320.587500,4.872500,405687501,6500000.000000,150000000.000000,4344444.444444,92555555.555556
mqtt_emqx,192.168.0.245,1884,1024,7000,70,10,700,4900000,fanout_steady_20260508_080314_emqx_p1024_s7000_u70_r10,6634.83,3568.059,8019.020,11447.933,,0,391455,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_080314_emqx_p1024_s7000_u70_r10/fanout_singlesite,395.630000,7.490000,623797862,44.298571,7.429286,618360247,6500000.000000,105000000.000000,653846.153846,9230769.230769
mqtt_hivemq,192.168.0.245,1885,1024,500,5,10,50,25000,fanout_steady_20260508_080651_hivemq_p1024_s500_u5_r10,509.62,8.515,15.205,35.936,,0,26500,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_080651_hivemq_p1024_s500_u5_r10/fanout_singlesite,220.620000,25.970000,2162516034,216.193636,25.644545,2135184423,2500000.000000,3500000.000000,2250000.000000,2500000.000000
mqtt_hivemq,192.168.0.245,1885,1024,1000,10,10,100,100000,fanout_steady_20260508_081022_hivemq_p1024_s1000_u10_r10,1250.00,38.265,85.763,158.429,,0,65000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_081022_hivemq_p1024_s1000_u10_r10/fanout_singlesite,250.800000,26.740000,2226940543,230.200833,26.380000,2196517858,3000000.000000,6500000.000000,2363636.363636,3924242.424242
mqtt_hivemq,192.168.0.245,1885,1024,2000,20,10,200,400000,fanout_steady_20260508_081355_hivemq_p1024_s2000_u20_r10,2603.77,178.450,344.540,615.737,,0,138000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_081355_hivemq_p1024_s2000_u20_r10/fanout_singlesite,274.420000,28.940000,2409476653,105.909167,28.778333,2395965402,3500000.000000,25000000.000000,1015151.515152,4848484.848485
mqtt_hivemq,192.168.0.245,1885,1024,3000,30,10,300,900000,fanout_steady_20260508_081733_hivemq_p1024_s3000_u30_r10,106.41,511.357,1113.759,2209.026,,0,5746,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_081733_hivemq_p1024_s3000_u30_r10/fanout_singlesite,11.190000,28.170000,2345052144,1.910833,27.162500,2261389760,0.000000,0.000000,0.000000,0.000000
mqtt_hivemq,192.168.0.245,1885,1024,4000,40,10,400,1600000,fanout_steady_20260508_082112_hivemq_p1024_s4000_u40_r10,1428.57,578.097,1087.300,1896.672,,0,80000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_082112_hivemq_p1024_s4000_u40_r10/fanout_singlesite,16.130000,27.250000,2268816474,2.428571,27.176429,2262680807,500000.000000,0.000000,38461.538462,0.000000
mqtt_hivemq,192.168.0.245,1885,1024,5000,50,10,500,2500000,fanout_steady_20260508_082453_hivemq_p1024_s5000_u50_r10,1315.79,1399.578,1973.655,2532.347,,0,75000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_082453_hivemq_p1024_s5000_u50_r10/fanout_singlesite,20.390000,27.560000,2294586278,2.646923,27.220769,2266256013,333333.333333,0.000000,27777.777778,0.000000
mqtt_hivemq,192.168.0.245,1885,1024,6000,60,10,600,3600000,fanout_steady_20260508_082835_hivemq_p1024_s6000_u60_r10,0.00,1838.154,2123.366,2996.830,,0,0,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_082835_hivemq_p1024_s6000_u60_r10/fanout_singlesite,7.350000,29.590000,2463163744,1.888571,27.965714,2328255754,500000.000000,0.000000,38461.538462,0.000000
mqtt_hivemq,192.168.0.245,1885,1024,7000,70,10,700,4900000,fanout_steady_20260508_083218_hivemq_p1024_s7000_u70_r10,0.00,1910.505,3779.068,4898.947,,0,0,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_083218_hivemq_p1024_s7000_u70_r10/fanout_singlesite,21.090000,29.330000,2441688908,2.698667,29.259333,2436033868,500000.000000,0.000000,35714.285714,0.000000
mqtt_rabbitmq,192.168.0.245,1886,1024,500,5,10,50,25000,fanout_steady_20260508_083606_rabbitmq_p1024_s500_u5_r10,3057.69,3.406,4.474,5.631,,0,159000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_083606_rabbitmq_p1024_s500_u5_r10/fanout_singlesite,339.150000,2.690000,224290406,330.411818,2.664545,221850084,2500000.000000,8000000.000000,2150000.000000,6550000.000000
mqtt_rabbitmq,192.168.0.245,1886,1024,1000,10,10,100,100000,fanout_steady_20260508_083937_rabbitmq_p1024_s1000_u10_r10,4471.70,5.796,8.005,10.106,,0,237000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_083937_rabbitmq_p1024_s1000_u10_r10/fanout_singlesite,391.050000,3.230000,269169459,357.490833,3.198333,266242185,3000000.000000,12500000.000000,2727272.727273,9000000.000000
mqtt_rabbitmq,192.168.0.245,1886,1024,2000,20,10,200,400000,fanout_steady_20260508_084308_rabbitmq_p1024_s2000_u20_r10,8777.78,12.636,16.857,20.909,,0,474000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_084308_rabbitmq_p1024_s2000_u20_r10/fanout_singlesite,390.590000,4.490000,373712486,379.695833,4.366667,363593728,3500000.000000,25000000.000000,3303030.303030,17272727.272727
mqtt_rabbitmq,192.168.0.245,1886,1024,3000,30,10,300,900000,fanout_steady_20260508_084639_rabbitmq_p1024_s3000_u30_r10,17890.91,22.084,28.984,35.818,,0,984000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_084639_rabbitmq_p1024_s3000_u30_r10/fanout_singlesite,390.380000,5.780000,481191526,360.268462,5.510769,458864924,5000000.000000,40000000.000000,3972222.222222,29444444.444444
mqtt_rabbitmq,192.168.0.245,1886,1024,4000,40,10,400,1600000,fanout_steady_20260508_085012_rabbitmq_p1024_s4000_u40_r10,27571.43,36.976,48.015,66.053,,0,1544000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_085012_rabbitmq_p1024_s4000_u40_r10/fanout_singlesite,391.500000,7.010000,583427686,377.432308,6.846154,570022046,5500000.000000,65000000.000000,5041666.666667,50833333.333333
mqtt_rabbitmq,192.168.0.245,1886,1024,5000,50,10,500,2500000,fanout_steady_20260508_085346_rabbitmq_p1024_s5000_u50_r10,38768.75,54.685,79.135,131.457,,0,2209819,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_085346_rabbitmq_p1024_s5000_u50_r10/fanout_singlesite,393.920000,8.750000,728550605,390.702308,8.438462,702562052,7500000.000000,100000000.000000,6250000.000000,76666666.666667
mqtt_rabbitmq,192.168.0.245,1886,1024,6000,60,10,600,3600000,fanout_steady_20260508_085721_rabbitmq_p1024_s6000_u60_r10,43781.33,80.288,128.743,235.965,,0,2539317,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_085721_rabbitmq_p1024_s6000_u60_r10/fanout_singlesite,392.230000,10.560000,879230976,384.443571,10.336429,860521384,8000000.000000,110000000.000000,6743589.743590,90384615.384615
mqtt_rabbitmq,192.168.0.245,1886,1024,7000,70,10,700,4900000,fanout_steady_20260508_090058_rabbitmq_p1024_s7000_u70_r10,50830.69,130.543,211.843,475.267,,0,2999011,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_090058_rabbitmq_p1024_s7000_u70_r10/fanout_singlesite,392.530000,10.770000,896532480,366.004000,10.463333,871156941,8500000.000000,150000000.000000,7083333.333333,98333333.333333
mqtt_artemis,192.168.0.245,1887,1024,500,5,10,50,25000,fanout_steady_20260508_090435_artemis_p1024_s500_u5_r10,5000.00,4.730,6.973,8.999,,0,260000,0,0.00,/home/cc/mq-bench/artifacts/fanout_steady_20260508_090435_artemis_p1024_s500_u5_r10/fanout_singlesite,179.130000,8.090000,673814938,162.762500,8.090000,673561532,2000000.000000,30000000.000000,1681818.181818,27727272.727273
