transport,payload,rate,run_id,sub_tps,p25_ms,p50_ms,p75_ms,p95_ms,p99_ms,min_ms,max_ms,avg_latency_ms,stddev_ms,sample_count,pub_tps,sent,recv,errors,loss_pct,duplicate_count,artifacts_dir,max_cpu_perc,max_mem_perc,max_mem_used_bytes,sub_mttf,sub_mttr,sub_crash_count,pub_crash_loop,pub_mttf,pub_mttr,pub_crash_count
mqtt_mosquitto,16384,100,latency_20251221_093257_mosquitto_p16384_n10_r10,100.00,0.374,0.387,0.414,0.492,0.600,0.306,4.293,0.404,0.078,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_093257_mosquitto_p16384_n10_r10/fanout_multi_topic_perkey,1.510000,0.020000,1609564,,,,,,,
mqtt_mosquitto,1048576,100,latency_20251221_093521_mosquitto_p1048576_n10_r10,99.98,10.898,11.184,11.719,12.615,14.467,6.840,40.305,10.945,1.651,395869,100.00,0,4999,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_093521_mosquitto_p1048576_n10_r10/fanout_multi_topic_perkey,59.260000,0.060000,5116002,,,,,,,
mqtt_emqx,1024,100,latency_20251221_093746_emqx_p1024_n10_r10,100.00,0.370,0.397,0.449,0.607,0.948,0.199,43.680,0.479,1.546,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_093746_emqx_p1024_n10_r10/fanout_multi_topic_perkey,10.450000,2.530000,210239488,,,,,,,
mqtt_emqx,16384,100,latency_20251221_094012_emqx_p16384_n10_r10,100.00,0.591,0.629,0.687,0.922,1.255,0.347,12.698,0.673,0.343,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_094012_emqx_p16384_n10_r10/fanout_multi_topic_perkey,12.830000,2.560000,213385216,,,,,,,
mqtt_emqx,1048576,100,latency_20251221_094238_emqx_p1048576_n10_r10,100.00,11.799,12.417,13.179,14.849,17.896,8.929,39.911,12.654,1.644,395862,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_094238_emqx_p1048576_n10_r10/fanout_multi_topic_perkey,77.290000,3.090000,257635123,,,,,,,
mqtt_hivemq,1024,100,latency_20251221_094505_hivemq_p1024_n10_r10,100.00,0.612,0.764,0.961,1.652,5.392,0.285,85.197,1.070,2.831,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_094505_hivemq_p1024_n10_r10/fanout_multi_topic_perkey,53.080000,14.640000,1219770712,,,,,,,
mqtt_hivemq,16384,100,latency_20251221_094733_hivemq_p16384_n10_r10,100.00,1.071,1.242,1.415,2.250,6.494,0.488,52.756,1.419,1.390,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_094733_hivemq_p16384_n10_r10/fanout_multi_topic_perkey,54.400000,19.210000,1599875318,,,,,,,
mqtt_hivemq,1048576,100,latency_20251221_095002_hivemq_p1048576_n10_r10,100.00,16.042,17.410,24.558,33.282,42.503,6.849,132.121,20.272,7.210,395856,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_095002_hivemq_p1048576_n10_r10/fanout_multi_topic_perkey,171.550000,21.550000,1794222588,,,,,,,
mqtt_rabbitmq,1024,100,latency_20251221_095233_rabbitmq_p1024_n10_r10,100.00,0.387,0.430,0.459,0.541,0.939,0.198,41.910,0.482,1.484,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_095233_rabbitmq_p1024_n10_r10/fanout_multi_topic_perkey,4.620000,1.310000,108842189,,,,,,,
mqtt_rabbitmq,16384,100,latency_20251221_095500_rabbitmq_p16384_n10_r10,100.00,0.566,0.592,0.627,0.714,1.143,0.447,10.437,0.622,0.274,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_095500_rabbitmq_p16384_n10_r10/fanout_multi_topic_perkey,6.210000,1.390000,115762790,,,,,,,
mqtt_rabbitmq,1048576,100,latency_20251221_095727_rabbitmq_p1048576_n10_r10,100.00,11.706,12.109,13.919,18.196,20.535,8.749,36.766,13.228,2.476,395863,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_095727_rabbitmq_p1048576_n10_r10/fanout_multi_topic_perkey,57.670000,2.050000,170498458,,,,,,,
mqtt_artemis,1024,100,latency_20251221_095957_artemis_p1024_n10_r10,100.00,0.569,0.686,0.858,1.680,2.667,0.351,47.251,0.883,1.734,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_095957_artemis_p1024_n10_r10/fanout_multi_topic_perkey,34.450000,3.840000,319920538,,,,,,,
mqtt_artemis,16384,100,latency_20251221_100222_artemis_p16384_n10_r10,100.00,0.711,0.826,1.018,1.865,3.208,0.458,162.267,1.187,4.789,395913,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_100222_artemis_p16384_n10_r10/fanout_multi_topic_perkey,31.210000,5.250000,437465907,,,,,,,
mqtt_artemis,1048576,100,latency_20251221_100447_artemis_p1048576_n10_r10,100.00,19.059,21.596,26.291,32.917,43.407,10.674,177.603,22.934,7.770,395842,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_100447_artemis_p1048576_n10_r10/fanout_multi_topic_perkey,171.360000,12.340000,1027080192,,,,,,,
amqp-rabbitmq,1024,100,latency_20251221_100714_amqp_p1024_n10_r10,100.00,0.584,0.760,1.028,1.257,1.680,0.403,5.665,0.849,0.247,395658,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_100714_amqp_p1024_n10_r10/fanout_multi_topic_perkey,9.390000,1.350000,112197632,,,,,,,
amqp-rabbitmq,16384,100,latency_20251221_100942_amqp_p16384_n10_r10,100.00,0.735,0.886,1.042,1.402,1.865,0.399,13.394,0.911,0.376,395658,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_100942_amqp_p16384_n10_r10/fanout_multi_topic_perkey,8.200000,1.470000,122368819,,,,,,,
amqp-rabbitmq,1048576,100,latency_20251221_101210_amqp_p1048576_n10_r10,100.00,9.190,9.987,10.858,14.430,16.672,5.710,26.329,10.366,1.759,395558,100.00,0,5000,0,0.0,0,/home/cc/mq-bench/artifacts/latency_20251221_101210_amqp_p1048576_n10_r10/fanout_multi_topic_perkey,32.360000,3.350000,279340646,,,,,,,
